iter	PRAUC	Logloss
0	0.8502444539	0.6820194773
1	0.9338954349	0.6679752024
2	0.9509486499	0.6600212972
3	0.9617911388	0.6496209466
4	0.9595527465	0.6417347516
5	0.9699317365	0.6323180428
6	0.9810108048	0.6199278257
7	0.9820839936	0.6090813647
8	0.9867230232	0.5995097376
9	0.9863048736	0.5907532295
10	0.9897683869	0.5804970228
11	0.991255908	0.5706060237
12	0.9934538461	0.5638632726
13	0.9943013676	0.5581581931
14	0.9956772269	0.5522319313
15	0.9963281856	0.5438317073
16	0.9959824673	0.5382969864
17	0.9973782913	0.5290578561
18	0.9980777722	0.5221906332
19	0.9974215052	0.5130695791
20	0.9978080365	0.503310383
21	0.9978971598	0.498193633
22	0.9978588262	0.4905804127
23	0.9983666254	0.4849090286
24	0.9983663034	0.4753848812
25	0.9981039474	0.4680516938
26	0.9981614996	0.4619337419
27	0.9982653574	0.4545578124
28	0.9983370434	0.4476196992
29	0.9985330775	0.4407613709
30	0.9985247592	0.43763568
31	0.9985958136	0.4328565713
32	0.9985933845	0.427248545
33	0.9988046966	0.4199418388
34	0.9990763616	0.4146556739
35	0.9990763616	0.4104099179
36	0.999144997	0.4060860138
37	0.9992130532	0.4014156572
38	0.9993469064	0.3946738436
39	0.9993469064	0.3890411333
40	0.9994127313	0.3835790832
41	0.999542791	0.3789597031
42	0.9996097176	0.3744351031
43	0.9996760933	0.3683634957
44	0.9997403451	0.3640968932
45	0.9996739694	0.3590858834
46	0.9997377133	0.3547550133
47	0.9999352237	0.3503397642
48	0.9999352237	0.3457746005
49	1	0.3414898883
50	1	0.3373630464
51	0.9999352237	0.3337778464
52	1	0.3297486932
53	1	0.3265340597
54	1	0.3230384758
55	1	0.3179485015
56	1	0.3152492317
57	1	0.3105962623
58	1	0.3079360085
59	1	0.3047240853
60	1	0.3011803326
61	1	0.2978996344
62	1	0.296044788
63	1	0.2935140432
64	1	0.2903631167
65	1	0.2887099157
66	1	0.2862680311
67	1	0.2848651452
68	1	0.2817874739
69	1	0.2785948567
70	1	0.2748678377
71	1	0.2726940884
72	1	0.2701933196
73	1	0.2669873002
74	1	0.2643807444
75	1	0.2617853395
76	1	0.2598909201
77	1	0.2577674974
78	1	0.2553761598
79	1	0.2542606302
80	1	0.252232722
81	1	0.2500559346
82	1	0.2473535577
83	1	0.2449586752
84	1	0.2428615967
85	1	0.2402966168
86	1	0.2379955858
87	1	0.2358136214
88	1	0.2336382871
89	1	0.2312270022
90	1	0.2286014905
91	1	0.2259450995
92	1	0.2233064974
93	1	0.2202199903
94	1	0.2185277152
95	1	0.2171698972
96	1	0.2145501596
97	1	0.2126965946
98	1	0.2107333963
99	1	0.207946439
100	1	0.2052613206
101	1	0.2029775742
102	1	0.2012119196
103	1	0.1988033637
104	1	0.1965654195
105	1	0.1946710919
106	1	0.1932796183
107	1	0.1914051702
108	1	0.1901310286
109	1	0.1884545149
110	1	0.186707789
111	1	0.1854294501
112	1	0.1832762012
113	1	0.1817190469
114	1	0.1802883226
115	1	0.1785281785
116	1	0.1768973942
117	1	0.1751699468
118	1	0.1743428659
119	1	0.1727676219
120	1	0.1712896771
121	1	0.1693086845
122	1	0.1683683603
123	1	0.1664202196
124	1	0.1645821954
125	1	0.1635248894
126	1	0.1624584486
