iter	Passed	Remaining
0	4	5039
1	7	4720
2	11	4603
3	15	4542
4	18	4521
5	22	4501
6	26	4457
7	29	4438
8	33	4420
9	37	4415
10	40	4401
11	44	4400
12	49	4560
13	53	4551
14	57	4532
15	61	4518
16	64	4502
17	68	4485
18	72	4477
19	75	4462
20	79	4449
21	82	4440
22	86	4434
23	90	4423
24	94	4420
25	97	4409
26	101	4405
27	105	4399
28	108	4392
29	112	4386
30	116	4381
31	119	4375
32	123	4377
33	127	4377
34	131	4373
35	135	4368
36	138	4361
37	142	4357
38	146	4365
39	150	4361
40	154	4355
41	157	4352
42	161	4348
43	165	4349
44	169	4342
45	173	4341
46	176	4341
47	180	4335
48	184	4332
49	188	4324
50	191	4320
51	195	4315
52	199	4309
53	202	4304
54	206	4300
55	210	4293
56	213	4288
57	217	4284
58	221	4278
59	224	4273
60	228	4268
61	232	4263
62	236	4260
63	239	4257
64	243	4254
65	247	4250
66	251	4246
67	254	4240
68	258	4237
69	262	4232
70	265	4229
71	269	4226
72	273	4220
73	277	4217
74	280	4214
75	284	4210
76	288	4204
77	292	4202
78	296	4205
79	300	4202
80	303	4198
81	307	4193
82	311	4188
83	315	4185
84	316	4152
85	320	4148
86	324	4145
87	327	4139
88	331	4134
89	334	4130
90	338	4126
91	342	4122
92	346	4119
93	349	4115
94	353	4112
95	357	4108
96	360	4104
97	364	4101
98	368	4098
99	372	4094
100	376	4094
101	380	4091
102	383	4088
103	387	4085
104	391	4081
105	395	4077
106	398	4073
107	402	4070
108	406	4066
109	410	4063
110	413	4059
111	417	4055
112	421	4050
113	424	4045
114	428	4041
115	432	4038
116	435	4034
117	439	4031
118	443	4028
119	447	4025
120	450	4021
121	454	4017
122	458	4013
123	462	4010
124	465	4006
125	469	4003
126	473	3999
127	477	3996
128	480	3993
129	484	3989
130	488	3985
131	492	3981
132	495	3977
133	499	3974
134	503	3971
135	507	3966
136	510	3964
137	514	3959
138	518	3957
139	522	3953
140	525	3949
141	529	3945
142	533	3941
143	536	3936
144	540	3933
145	544	3929
146	547	3925
147	551	3921
148	555	3919
149	557	3900
150	560	3896
151	564	3892
152	568	3888
153	571	3884
154	575	3880
155	579	3877
156	583	3873
157	586	3869
158	590	3867
159	594	3862
160	597	3858
161	601	3855
162	605	3851
163	609	3847
164	612	3843
165	616	3839
166	620	3836
167	623	3832
168	627	3828
169	631	3824
170	634	3820
171	638	3816
172	642	3813
173	646	3809
174	649	3805
175	653	3801
176	657	3798
177	660	3794
178	664	3791
179	668	3787
180	672	3784
181	676	3781
182	679	3777
183	683	3773
184	687	3770
185	690	3765
186	694	3762
187	698	3758
188	701	3754
189	705	3751
190	709	3747
191	713	3743
192	716	3739
193	720	3736
194	724	3733
195	728	3730
196	732	3726
197	735	3722
198	739	3719
199	743	3716
200	746	3712
201	750	3708
202	754	3704
203	758	3702
204	762	3698
205	765	3694
206	769	3690
207	773	3687
208	777	3684
209	780	3680
210	784	3677
211	788	3673
212	791	3669
213	795	3665
214	799	3661
215	802	3657
216	806	3654
217	810	3650
218	814	3646
219	817	3642
220	821	3639
221	825	3635
222	828	3631
223	832	3628
224	836	3624
225	840	3621
226	843	3617
227	847	3612
228	851	3609
229	855	3606
230	859	3603
231	862	3600
232	866	3596
233	870	3593
234	874	3589
235	877	3586
236	881	3581
237	885	3578
238	888	3574
239	892	3570
240	896	3566
241	900	3562
242	903	3559
243	907	3555
244	911	3552
245	914	3548
246	918	3544
247	922	3540
248	926	3537
249	929	3533
250	933	3529
251	937	3526
252	941	3522
253	945	3521
254	949	3518
255	952	3514
256	956	3510
257	960	3507
258	964	3504
259	968	3500
260	972	3497
261	975	3493
262	979	3490
263	983	3486
264	987	3483
265	991	3479
266	994	3476
267	998	3472
268	1002	3469
269	1006	3465
270	1009	3461
271	1013	3458
272	1017	3454
273	1021	3450
274	1024	3446
275	1028	3443
276	1032	3439
277	1035	3435
278	1039	3432
279	1043	3428
280	1047	3425
281	1051	3421
282	1054	3417
283	1058	3413
284	1062	3410
285	1065	3406
286	1069	3403
287	1073	3399
288	1077	3396
289	1081	3392
290	1085	3389
291	1089	3387
292	1093	3383
293	1096	3379
294	1100	3376
295	1104	3372
296	1108	3369
297	1111	3365
298	1115	3361
299	1119	3358
300	1123	3355
301	1127	3351
302	1130	3347
303	1134	3343
304	1138	3339
305	1141	3336
306	1145	3332
307	1149	3328
308	1153	3325
309	1157	3321
310	1160	3318
311	1164	3314
312	1168	3311
313	1172	3307
314	1175	3303
315	1179	3299
316	1183	3296
317	1187	3293
318	1191	3289
319	1194	3286
320	1198	3282
321	1202	3278
322	1206	3275
323	1209	3271
324	1213	3267
325	1217	3265
326	1221	3261
327	1225	3257
328	1229	3254
329	1232	3250
330	1236	3246
331	1240	3243
332	1244	3239
333	1247	3235
334	1251	3232
335	1255	3228
336	1259	3224
337	1262	3220
338	1266	3217
339	1270	3213
340	1274	3210
341	1278	3206
342	1281	3202
343	1285	3198
344	1289	3195
345	1293	3191
346	1296	3188
347	1300	3184
348	1304	3180
349	1307	3176
350	1311	3172
351	1315	3169
352	1319	3166
353	1323	3162
354	1327	3159
355	1330	3155
356	1334	3151
357	1338	3147
358	1342	3144
359	1345	3140
360	1349	3136
361	1353	3133
362	1357	3129
363	1361	3125
364	1364	3122
365	1368	3118
366	1372	3114
367	1375	3110
368	1379	3107
369	1383	3104
370	1387	3100
371	1391	3096
372	1395	3093
373	1399	3089
374	1402	3085
375	1406	3082
376	1410	3078
377	1413	3074
378	1418	3073
379	1422	3069
380	1426	3065
381	1430	3062
382	1433	3058
383	1437	3054
384	1441	3051
385	1444	3047
386	1448	3043
387	1452	3040
388	1456	3036
389	1460	3032
390	1464	3029
391	1468	3026
392	1471	3022
393	1475	3018
394	1479	3014
395	1483	3011
396	1486	3007
397	1490	3003
398	1494	3000
399	1498	2996
400	1501	2992
